concat,constName,stateName,winner,winParty,Winvotes,Votesharewinner,Runner,runParty,Runvotes,Votesharerunner,Marginabs,absMarginText,marginPC
S25_18,Basirhat,West Bengal,Nusrat Jahan Ruhi,All India Trinamool Congress,782078,54.56,Sayantan Basu,BJP,431709,30.12,350369,3.5L,24.44
S29_15,Warangal,Telangana,Dayakar Pasunoori,Telangana Rashtra Samithi,612498,57.69,Dommati Sambaiah,INC,262200,24.7,350298,3.5L,32.99
S10_15,Udupi Chikmagalur,Karnataka,Shobha Karandlaje,BJP,718916,62.46,Pramod Madhwaraj,Janata Dal  (Secular),369317,32.09,349599,3.5L,30.37
S26_8,Raipur,Chhattisgarh,Sunil Kumar Soni,BJP,837902,60.01,Pramod Dubey,INC,489664,35.07,348238,3.48L,24.94
S12_6,Tikamgarh,Madhya Pradesh,Dr. Virendra Kumar,BJP,672248,61.3,Ahirwar Kiran,INC,324189,29.56,348059,3.48L,31.74
S24_35,Lucknow,Uttar Pradesh,Rajnath Singh,BJP,633026,56.7,Poonam Shatrughan Sinha,Samajwadi Party,285724,25.59,347302,3.47L,31.11
S22_36,Thoothukkudi,Tamil Nadu,Kanimozhi Karunanidhi,Dravida Munnetra Kazhagam,563143,56.81,Dr. Tamilisai Soundararajan,BJP,215934,21.78,347209,3.47L,35.03
S03_7,Gauhati,Assam,Queen Oja,BJP,1008936,57.2,Bobbeeta Sharma,INC,663330,37.61,345606,3.46L,19.59
S13_24,Kalyan,Maharashtra,Dr. Shrikant Eknath Shinde,Shivsena,559723,62.87,Babaji Balaram Patil,Nationalist Congress Party,215380,24.19,344343,3.44L,38.68
S07_1,Ambala,Haryana,Rattan Lal Kataria,BJP,746508,56.72,Selja,INC,404163,30.71,342345,3.42L,26.01
S24_63,Maharajganj,Uttar Pradesh,Pankaj Choudhary,BJP,726349,59.2,Akhilesh,Samajwadi Party,385925,31.45,340424,3.4L,27.75
S04_4,Sheohar,Bihar,Rama Devi,BJP,608678,60.59,Syed Faisal Ali,Rashtriya Janata Dal,268318,26.71,340360,3.4L,33.88
S28_4,Nainital-udhamsingh Nagar,Uttarakhand,Ajay Bhatt,BJP,772195,61.35,Harish Rawat,INC,433099,34.41,339096,3.39L,26.94
S24_65,Kushi Nagar,Uttar Pradesh,Vijay Kumar Dubey,BJP,597039,56.69,N.p. Kushwaha Alias Nathuni Prasad Kushwaha,Samajwadi Party,259479,24.64,337560,3.38L,32.05
S24_13,Gautam Buddha Nagar,Uttar Pradesh,Dr. Mahesh Sharma,BJP,830812,59.64,Satveer,Bahujan Samaj Party,493890,35.46,336922,3.37L,24.18
S13_4,Raver,Maharashtra,Khadse Raksha Nikhil,BJP,655386,59.96,Dr.ulhas Vasudeo Patil,INC,319504,29.23,335882,3.36L,30.73
S20_3,Churu,Rajasthan,Rahul Kaswan,BJP,792999,59.69,Rafique Mandelia,INC,458597,34.52,334402,3.34L,25.17
S06_22,Bharuch,Gujarat,Mansukhbhai Dhanjibhai Vasava,BJP,637795,55.47,Sherkhan Abdulsakur Pathan,INC,303581,26.4,334214,3.34L,29.07
S13_18,Jalna,Maharashtra,Danve Raosaheb Dadarao,BJP,698019,57.78,Autade Vilas Keshavrao,INC,365204,30.23,332815,3.33L,27.55
S22_31,Sivaganga,Tamil Nadu,Karti P Chidambaram,INC,566104,52.2,H.raja,BJP,233860,21.56,332244,3.32L,30.64
S10_26,Bangalore South,Karnataka,Tejasvi Surya,BJP,739229,62.2,B.k.hariprasad,INC,408037,34.33,331192,3.31L,27.87
S20_8,Alwar,Rajasthan,Balak Nath,BJP,760201,60.06,Bhanwar Jitendra Singh,INC,430230,33.99,329971,3.3L,26.07
S06_15,Bhavnagar,Gujarat,Dr. Bharatiben Dhirubhai Shiyal,BJP,661273,63.51,Patel Manharbhai Nagjibhai (Vasani),INC,331754,31.86,329519,3.3L,31.65
S22_7,Arakkonam,Tamil Nadu,S. Jagathrakshakan,Dravida Munnetra Kazhagam,672190,57.06,A.k. Moorthy,Pattali Makkal Katchi,343234,29.14,328956,3.29L,27.92
S08_4,Shimla,Himachal Pradesh,Suresh Kumar Kashyap,BJP,606183,66.35,Dhani Ram Shandil,INC,278668,30.5,327515,3.28L,35.85
S13_34,Pune,Maharashtra,Girish Bhalchandra Bapat,BJP,632835,61.13,Mohan Joshi,INC,308207,29.77,324628,3.25L,31.36
S20_17,Barmer,Rajasthan,Kailash Choudhary,BJP,846526,59.52,Manvendra Singh,INC,522718,36.75,323808,3.24L,22.77
S04_7,Jhanjharpur,Bihar,Ramprit Mandal,Janata Dal  (United),602391,56.8,Gulab Yadav,Rashtriya Janata Dal,279440,26.35,322951,3.23L,30.45
S06_8,Ahmedabad West,Gujarat,Dr. Kirit P. Solanki,BJP,641622,64.35,Raju Parmar,INC,320076,32.1,321546,3.22L,32.25
S25_21,Diamond Harbour,West Bengal,Abhishek Banerjee,All India Trinamool Congress,791127,56.15,Nilanjan Roy,BJP,470533,33.39,320594,3.21L,22.76
S20_9,Bharatpur,Rajasthan,Ranjeeta Koli,BJP,707992,61.74,Abhijeet Kumar Jatav,INC,389593,33.97,318399,3.18L,27.77
S25_19,Joynagar,West Bengal,Pratima Mondal,All India Trinamool Congress,761202,56.13,Dr. Ashok Kandary,BJP,444427,32.77,316775,3.17L,23.36
S29_6,Medak,Telangana,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,596048,51.82,Anil Kumar Gali,INC,279621,24.31,316427,3.16L,27.51
S07_4,Hisar,Haryana,Brijendra Singh,BJP,603289,51.13,Dushyant Chautala,Jannayak Janta Party,289221,24.51,314068,3.14L,26.62
S12_10,Rewa,Madhya Pradesh,Janardan Mishra,BJP,583745,57.61,"Siddharth Tiwari ""Raj""",INC,270938,26.74,312807,3.13L,30.87
S07_3,Sirsa,Haryana,Sunita Duggal,BJP,714351,52.16,Ashok Tanwar,INC,404433,29.53,309918,3.1L,22.63
S23_1,Tripura West,Tripura,Pratima Bhoumik,BJP,573532,51.77,Subal Bhowmik,INC,267843,24.18,305689,3.06L,27.59
S12_5,Sagar,Madhya Pradesh,Rajbahadur Singh,BJP,646231,62.31,Prabhu Singh Thakur,INC,340689,32.85,305542,3.06L,29.46
S06_1,Kachchh,Gujarat,Chavda Vinod Lakhamshi,BJP,637034,62.26,Naresh Naranbhai Maheshwari,INC,331521,32.4,305513,3.06L,29.86
S20_20,Banswara,Rajasthan,Kanakmal Katara,BJP,711709,49.44,Tarachand Bhagora,INC,406245,28.22,305464,3.05L,21.22
S22_11,Tiruvannamalai,Tamil Nadu,Annadurai C.N.,Dravida Munnetra Kazhagam,666272,57.85,Agri Krishnamurthy S S,All India Anna Dravida Munnetra Kazhagam,362085,31.44,304187,3.04L,26.41
S09_6,Jammu,Jammu & Kashmir,Jugal Kishore,BJP,858066,58.02,Raman Bhalla,INC,555191,37.54,302875,3.03L,20.48
S28_2,Garhwal,Uttarakhand,Tirath Singh Rawat,BJP,506980,68.25,Manish Khanduri,INC,204311,27.51,302669,3.03L,40.74
S20_4,Jhunjhunu,Rajasthan,Narendra Kumar,BJP,738163,61.57,Sharwan Kumar S/o Gokal Ram,INC,435616,36.33,302547,3.03L,25.24
S27_9,Jamshedpur,Jharkhand,Bidyut Baran Mahato,BJP,679632,59.4,Champai Soren,Jharkhand Mukti Morcha,377542,33,302090,3.02L,26.4
S24_64,Gorakhpur,Uttar Pradesh,Ravindra Shyamnarayan Shukla (Ravi Kishan),BJP,717122,60.54,Rambhual Nishad,Samajwadi Party,415458,35.07,301664,3.02L,25.47
S04_13,Madhepura,Bihar,Dinesh Chandra Yadav,Janata Dal  (United),624334,54.42,Sharad Yadav,Rashtriya Janata Dal,322807,28.14,301527,3.02L,26.28
S22_4,Chennai Central,Tamil Nadu,Dayanidhi Maran,Dravida Munnetra Kazhagam,448911,57.15,Sam Paul. S.r.,Pattali Makkal Katchi,147391,18.77,301520,3.02L,38.38
S28_1,Tehri Garhwal,Uttarakhand,Mala Rajya Laxmi Shah,BJP,565333,64.53,Pritam Singh,INC,264747,30.22,300586,3.01L,34.31
S20_5,Sikar,Rajasthan,Sumedhanand Saraswati,BJP,772104,58.19,Subhash Maharia,INC,474948,35.79,297156,2.97L,22.4
S25_22,Jadavpur,West Bengal,Mimi Chakraborty,All India Trinamool Congress,688472,47.91,Anupam Hazra,BJP,393233,27.37,295239,2.95L,20.54
S04_2,Paschim Champaran,Bihar,Dr. Sanjay Jaiswal,BJP,603706,59.6,Brijesh Kumar Kushwaha,Rashtriya Lok Samta Party,309800,30.58,293906,2.94L,29.02
S04_3,Purvi Champaran,Bihar,Radha Mohan Singh,BJP,577787,57.81,Aakash Kumar Singh,Rashtriya Lok Samta Party,284139,28.43,293648,2.94L,29.38
S24_17,Mathura,Uttar Pradesh,Hema Malini,BJP,671293,60.88,Kunwar Narendra Singh,Rashtriya Lok Dal,377822,34.26,293471,2.93L,26.62
S13_21,Nashik,Maharashtra,Godse Hemant Tukaram,Shivsena,563599,50.27,Sameer Magan Bhujbal,Nationalist Congress Party,271395,24.21,292204,2.92L,26.06
S24_14,Bulandshahr,Uttar Pradesh,Bhola Singh,BJP,681321,60.64,Yogesh Verma,Bahujan Samaj Party,391264,34.82,290057,2.9L,25.82
S13_41,Latur,Maharashtra,Sudhakar Tukaram Shrangare,BJP,661495,56.22,Kamant Machhindra Gunwantrao,INC,372384,31.65,289111,2.89L,24.57
S22_6,Kancheepuram,Tamil Nadu,Selvam G.,Dravida Munnetra Kazhagam,684004,55.27,Maragatham K,All India Anna Dravida Munnetra Kazhagam,397372,32.11,286632,2.87L,23.16
S12_11,Sidhi,Madhya Pradesh,Riti Pathak,BJP,698342,54.44,Ajay Arjun Singh,INC,411818,32.11,286524,2.87L,22.33
S04_17,Gopalganj (Sc),Bihar,Dr. Alok Kumar Suman,Janata Dal  (United),568150,55.44,Surendra Ram,Rashtriya Janata Dal,281716,27.49,286434,2.86L,27.95
S04_30,Patna Sahib,Bihar,Ravi Shankar Prasad,BJP,607506,61.85,Shatrughan Sinha,INC,322849,32.87,284657,2.85L,28.98
S27_8,Ranchi,Jharkhand,Sanjay Seth,BJP,706828,57.21,Subodh Kant Sahay,INC,423802,34.3,283026,2.83L,22.91
S29_9,Hyderabad,Telangana,Asaduddin Owaisi,All India Majlis-e-ittehadul Muslimeen,517471,58.95,Dr. Bhagavanth Rao,BJP,235285,26.8,282186,2.82L,32.15
S06_4,Mahesana,Gujarat,Shardaben Anilbhai Patel,BJP,659525,60.96,A. J. Patel,INC,378006,34.94,281519,2.82L,26.02
S13_37,Ahmadnagar,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,BJP,704660,58.54,Sangram Arunkaka Jagtap,Nationalist Congress Party,423186,35.15,281474,2.81L,23.39
S20_24,Kota,Rajasthan,Om Birla,BJP,800051,58.52,Ramnarain Meena,INC,520374,38.07,279677,2.8L,20.45
S13_15,Hingoli,Maharashtra,Hemant Patil,Shivsena,586312,50.65,Wankhede Subhashrao Bapurao,INC,308456,26.65,277856,2.78L,24
S04_26,Bhagalpur,Bihar,Ajay Kumar Mandal,Janata Dal  (United),618254,59.3,Shailesh Kumar Alias Vulo Mandal,Rashtriya Janata Dal,340624,32.67,277630,2.78L,26.63
S06_9,Surendranagar,Gujarat,Dr. Munjapara Mahendrabhai,BJP,631844,58.63,Koli Patel Somabhai Gandalal,INC,354407,32.88,277437,2.77L,25.75
S04_22,Ujiarpur,Bihar,Nityanand Rai,BJP,543906,56.11,Upendra Kushwaha,Rashtriya Lok Samta Party,266628,27.51,277278,2.77L,28.6
S13_6,Akola,Maharashtra,Dhotre Sanjay Shamrao,BJP,554444,49.53,Ambedkar (Adv) Prakash Yashwant,Vanchit Bahujan Aaghadi,278848,24.91,275596,2.76L,24.62
S24_44,Akbarpur,Uttar Pradesh,Devendra Singh 'bhole',BJP,581282,56.69,Nisha Sachan,Bahujan Samaj Party,306140,29.86,275142,2.75L,26.83
S10_17,Dakshina Kannada,Karnataka,Nalin Kumar Kateel,BJP,774285,57.57,Mithun M Rai,INC,499664,37.15,274621,2.75L,20.42
S20_16,Jodhpur,Rajasthan,Gajendra Singh Shekhawat,BJP,788888,58.6,Vaibhav Gehlot,INC,514448,38.21,274440,2.74L,20.39
S12_28,Khandwa,Madhya Pradesh,Nandkumar Singh Chouhan (Nandu Bhaiya),BJP,838909,57.14,Arun Subhash Chandra Yadav,INC,565566,38.52,273343,2.73L,18.62
S18_16,Jagatsinghpur,Odisha,Rajashree Mallick,Biju Janata Dal,619985,50.44,Bibhu Prasad Tarai,BJP,348330,28.34,271655,2.72L,22.1
S13_47,Kolhapur,Maharashtra,Sanjay Sadashivrao Mandlik,Shivsena,749085,56.29,Dhananjay Mahadik,Nationalist Congress Party,478517,35.96,270568,2.71L,20.33
S06_5,Sabarkantha,Gujarat,Rathod Dipsinh Shankarsinh,BJP,701984,57.62,Thakor Rajendrasinh Shivsinh,INC,432997,35.54,268987,2.69L,22.08
S24_27,Shahjahanpur,Uttar Pradesh,Arun Kumar Sagar,BJP,688990,58.09,Amar Chandra Jauhar,Bahujan Samaj Party,420572,35.46,268418,2.68L,22.63
S01_24,Rajampet,Andhra Pradesh,P.V. Midhun Reddy,Yuvajana Sramika Rythu Congress Party,702211,57.35,D A Sathya Prabha,Telugu Desam,433927,35.44,268284,2.68L,21.91
S04_14,Darbhanga,Bihar,Gopal Jee Thakur,BJP,586668,60.79,Abdul Bari Siddiqui,Rashtriya Janata Dal,318689,33.02,267979,2.68L,27.77
S04_8,Supaul,Bihar,Dileshwar Kamait,Janata Dal  (United),597377,53.78,Ranjeet Ranjan,INC,330524,29.76,266853,2.67L,24.02
S22_16,Namakkal,Tamil Nadu,Chinraj A.K.P.,Dravida Munnetra Kazhagam,626293,55.24,Kaliappan P,All India Anna Dravida Munnetra Kazhagam,361142,31.85,265151,2.65L,23.39
S20_2,Bikaner (Sc),Rajasthan,Arjun Ram Meghwal,BJP,657743,59.82,Madan Gopal Meghwal,INC,393662,35.8,264081,2.64L,24.02
S04_12,Purnia,Bihar,Santosh Kumar,Janata Dal  (United),632924,54.85,Uday Singh Alias Pappu Singh,INC,369463,32.02,263461,2.63L,22.83
S22_3,Chennai South,Tamil Nadu,T. Sumathy (Thamizhachi Thangapandian),Dravida Munnetra Kazhagam,564872,50.17,Dr.j.jayavardhan,All India Anna Dravida Munnetra Kazhagam,302649,26.88,262223,2.62L,23.29
S24_57,Kaiserganj,Uttar Pradesh,Brijbhusan Sharan Singh,BJP,581358,59.24,Chandradev Ram Yadav,Bahujan Samaj Party,319757,32.58,261601,2.62L,26.66
S22_28,Mayiladuthurai,Tamil Nadu,Ramalingam  S.,Dravida Munnetra Kazhagam,599292,54.62,Asaimani. S,All India Anna Dravida Munnetra Kazhagam,337978,30.8,261314,2.61L,23.82
S20_18,Jalore,Rajasthan,Devaji Patel,BJP,772833,56.76,Ratan Devasi,INC,511723,37.58,261110,2.61L,19.18
S13_27,Mumbai North West,Maharashtra,Gajanan Kirtikar,Shivsena,570063,60.55,Sanjay Nirupam,INC,309735,32.9,260328,2.6L,27.65
S24_16,Hathras,Uttar Pradesh,Rajvir Diler,BJP,684299,59.49,Ramji Lal Suman,Samajwadi Party,424091,36.87,260208,2.6L,22.62
S11_6,Malappuram,Kerala,P.K. Kunhalikutty,Indian Union Muslim League,589873,57.01,V.p. Sanu,Communist Party Of India  (Marxist),329720,31.87,260153,2.6L,25.14
S22_39,Kanniyakumari,Tamil Nadu,Vasanthakumar  H.,INC,627235,59.83,Radhakrishnan. P,BJP,367302,35.04,259933,2.6L,24.79
S24_69,Azamgarh,Uttar Pradesh,Akhilesh Yadav,Samajwadi Party,621578,60.4,Dinesh Lal Yadav Nirahua,BJP,361704,35.15,259874,2.6L,25.25
S28_5,Hardwar,Uttarakhand,Ramesh Pokhriyal,BJP,665674,52.37,Ambrish Kumar,INC,406945,32.02,258729,2.59L,20.35
S10_4,Bijapur,Karnataka,Jigajinagi Ramesh Chandappa,BJP,635867,57.22,Dr. Sunita Devanand Chavan,Janata Dal  (Secular),377829,34,258038,2.58L,23.22
U05_4,New Delhi,Nct Of Delhi,Meenakashi Lekhi,BJP,504206,54.77,Ajay Makan,INC,247702,26.91,256504,2.57L,27.86
S04_29,Nalanda,Bihar,Kaushlendra Kumar,Janata Dal  (United),540888,52.45,Ashok Kumar Azad,Hindustani Awam Morcha (Secular),284751,27.61,256137,2.56L,24.84
S24_26,Pilibhit,Uttar Pradesh,Feroze Varun Gandhi,BJP,704549,59.38,Hemraj Verma,Samajwadi Party,448922,37.83,255627,2.56L,21.55
S04_23,Samastipur (Sc),Bihar,Ramchandra Paswan,Lok Jan Shakti Party,562443,55.19,Dr. Ashok Kumar,INC,310800,30.5,251643,2.52L,24.69
S04_5,Sitamarhi,Bihar,Sunil Kumar Pintu,Janata Dal  (United),567745,54.65,Arjun Ray,Rashtriya Janata Dal,317206,30.53,250539,2.51L,24.12
S01_17,Nandyal,Andhra Pradesh,Pocha Brahmananda Reddy,Yuvajana Sramika Rythu Congress Party,720888,55.49,Mandra Sivananda Reddy,Telugu Desam,470769,36.24,250119,2.5L,19.25
S24_66,Deoria,Uttar Pradesh,Ramapati Ram Tripathi,BJP,580644,57.19,Binod Kumar Jaiswal,Bahujan Samaj Party,330713,32.57,249931,2.5L,24.62
S24_47,Hamirpur,Uttar Pradesh,Kunwar Pushpendra Singh Chandel,BJP,575122,52.77,Dilip Kumar Singh,Bahujan Samaj Party,326470,29.96,248652,2.49L,22.81
S04_25,Khagaria,Bihar,Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,510193,52.77,Mukesh Sahani,Vikassheel Insaan Party,261623,27.06,248570,2.49L,25.71
S27_6,Giridih,Jharkhand,Chandra Prakash Choudhary,Ajsu Party,648277,58.57,Jagarnath Mahto,Jharkhand Mukti Morcha,399930,36.13,248347,2.48L,22.44
S25_9,Jangipur,West Bengal,Khalilur Rahaman,All India Trinamool Congress,562838,43.15,Mafuja Khatun,BJP,317056,24.3,245782,2.46L,18.85
S25_2,Alipurduars,West Bengal,John Barla,BJP,750804,54.4,Dasrath Tirkey,All India Trinamool Congress,506815,36.72,243989,2.44L,17.68
S03_9,Tezpur,Assam,Pallab Lochan Das,BJP,684166,57.48,M.g.v.k. Bhanu,INC,441325,37.08,242841,2.43L,20.4
S12_15,Balaghat,Madhya Pradesh,Dr Dhal Singh Bisen,BJP,696102,50.74,Madhu Bhagat,INC,454036,33.09,242066,2.42L,17.65
S04_40,Jamui (Sc),Bihar,Chirag Kumar Paswan,Lok Jan Shakti Party,529134,55.75,Bhudeo Choudhary,Rashtriya Lok Samta Party,288085,30.35,241049,2.41L,25.4
S03_3,Autonomous District,Assam,Horen Sing Bey,BJP,381316,61.73,Biren Singh Engti,INC,141690,22.94,239626,2.4L,38.79
S06_12,Jamnagar,Gujarat,Poonamben Hematbhai Maadam,BJP,591588,58.52,Kandoriya Mulubhai Ranmalbhai,INC,354784,35.09,236804,2.37L,23.43
S04_16,Vaishali,Bihar,Veena Devi,Lok Jan Shakti Party,568215,52.87,Raghuvansh Prasad Singh,Rashtriya Janata Dal,333631,31.04,234584,2.35L,21.83
S25_13,Ranaghat,West Bengal,Jagannath Sarkar,BJP,783253,52.78,Rupali Biswas,All India Trinamool Congress,549825,37.05,233428,2.33L,15.73
S28_3,Almora,Uttarakhand,Ajay Tamta,BJP,444651,64.03,Pradeep Tamta,INC,211665,30.48,232986,2.33L,33.55
S24_79,Mirzapur,Uttar Pradesh,Anupriya Singh Patel,Apna Dal (Soneylal),591564,53.34,Ramcharitra Nishad,Samajwadi Party,359556,32.42,232008,2.32L,20.92
S12_9,Satna,Madhya Pradesh,Ganesh Singh,BJP,588753,52.87,Rajaram Tripathi,INC,357280,32.08,231473,2.31L,20.79
S22_12,Arani,Tamil Nadu,Vishnu Prasad M. K.,INC,617760,54,Elumalai V,All India Anna Dravida Munnetra Kazhagam,386954,33.83,230806,2.31L,20.17
S04_19,Maharajganj,Bihar,Janardan Singh,BJP,546352,56.17,Randhir Kumar Singh,Rashtriya Janata Dal,315580,32.44,230772,2.31L,23.73
S06_11,Porbandar,Gujarat,Rameshbhai Lavjibhai Dhaduk,BJP,563881,59.36,Lalit Vasoya,INC,334058,35.17,229823,2.3L,24.19
S24_15,Aligarh,Uttar Pradesh,Satish Kumar Gautam,BJP,656215,56.42,Dr. Ajeet Baliyan,Bahujan Samaj Party,426954,36.71,229261,2.29L,19.71
S13_2,Dhule,Maharashtra,Bhamre Subhash Ramrao,BJP,613533,56.54,Kunalbaba Rohidas Patil,INC,384290,35.42,229243,2.29L,21.12
S01_23,Tirupati,Andhra Pradesh,Balli Durga Prasad Rao,Yuvajana Sramika Rythu Congress Party,722877,55.03,Panabaka Lakshmi,Telugu Desam,494501,37.65,228376,2.28L,17.38
U05_1,Chandni Chowk,Nct Of Delhi,Harsh Vardhan,BJP,519055,52.94,Jai Prakash Agarwal,INC,290910,29.67,228145,2.28L,23.27
S13_28,Mumbai North East,Maharashtra,Manoj Kotak,BJP,514599,56.61,Patil Sanjay Dina,Nationalist Congress Party,288113,31.7,226486,2.26L,24.91
S25_11,Murshidabad,West Bengal,Abu Taher Khan,All India Trinamool Congress,604346,41.57,"Abu Hena, S/o - Late Abdus Sattar",INC,377929,26,226417,2.26L,15.57
S03_4,Dhubri,Assam,Badruddin Ajmal,All India United Democratic Front,718764,42.66,Abu Taher Bepari,INC,492506,29.23,226258,2.26L,13.43
S10_14,Shimoga,Karnataka,B.Y. Raghavendra ,BJP,729872,56.86,S.madhubangarappa,Janata Dal  (Secular),506512,39.46,223360,2.23L,17.4
S18_2,Sundargarh,Odisha,Jual Oram,BJP,500056,45.45,Sunita Biswal,Biju Janata Dal,276991,25.18,223065,2.23L,20.27
S24_40,Farrukhabad,Uttar Pradesh,Mukesh Rajput,BJP,569880,56.82,Manoj Agarwal,Bahujan Samaj Party,348178,34.72,221702,2.22L,22.1
S01_1,Aruku,Andhra Pradesh,Goddeti Madhavi,Yuvajana Sramika Rythu Congress Party,557561,52.26,Kishore Chandra Deo,Telugu Desam,336163,31.51,221398,2.21L,20.75
S24_28,Kheri,Uttar Pradesh,Ajay Kumar,BJP,609589,53.63,Dr. Purvi Verma,Samajwadi Party,390782,34.38,218807,2.19L,19.25
S13_10,Nagpur,Maharashtra,Nitin Jairam Gadkari,BJP,660221,55.67,Nana Patole,INC,444212,37.45,216009,2.16L,18.22
S13_33,Maval,Maharashtra,Shrirang Appa Chandu Barne,Shivsena,720663,52.65,Parth Ajit Pawar,Nationalist Congress Party,504750,36.87,215913,2.16L,15.78
S06_23,Bardoli,Gujarat,Parbhubhai Nagarbhai Vasava,BJP,742273,55.06,Chaudhari Dr. Tusharbhai Amarsinhbhai,INC,526826,39.08,215447,2.15L,15.98
S25_26,Uluberia,West Bengal,Sajda Ahmed,All India Trinamool Congress,694945,53,Joy Banerjee,BJP,479586,36.58,215359,2.15L,16.42
S01_16,Ongole,Andhra Pradesh,Magunta Sreenivasulu Reddy,Yuvajana Sramika Rythu Congress Party,739202,55.07,Sidda Raghava Rao,Telugu Desam,524351,39.06,214851,2.15L,16.01
S24_18,Agra,Uttar Pradesh,Satyapal Singh Baghel,BJP,646875,56.48,Manoj Kumar Soni,Bahujan Samaj Party,435329,38.01,211546,2.12L,18.47
S22_29,Nagapattinam,Tamil Nadu,Selvaraj M.,Communist Party Of India,522892,52.17,Saravanan M,All India Anna Dravida Munnetra Kazhagam,311539,31.09,211353,2.11L,21.08
S22_17,Erode,Tamil Nadu,Ganeshamurthi A.,Dravida Munnetra Kazhagam,563591,52.78,Manimaran G,All India Anna Dravida Munnetra Kazhagam,352973,33.05,210618,2.11L,19.73
S10_28,Kolar,Karnataka,S. Muniswamy,BJP,709165,56.35,K.h. Muniyappa,INC,499144,39.66,210021,2.1L,16.69
S03_11,Kaliabor,Assam,Gaurav Gogoi,INC,786092,55.18,Moni Madhab Mahanta,Asom Gana Parishad,576098,40.44,209994,2.1L,14.74
S10_23,Bangalore Rural,Karnataka,D.K. Suresh,INC,878258,54.15,Ashwathnarayangowda,BJP,671388,41.4,206870,2.07L,12.75
S22_19,Nilgiris,Tamil Nadu,Raja A. ,Dravida Munnetra Kazhagam,547832,54.2,"Thiyagarajan, M.",All India Anna Dravida Munnetra Kazhagam,342009,33.84,205823,2.06L,20.36
S04_21,Hajipur (Sc),Bihar,Pashu Pati Kumar Paras,Lok Jan Shakti Party,541310,53.76,Shiv Chandra Ram,Rashtriya Janata Dal,335861,33.36,205449,2.05L,20.4
S10_11,Dharwad,Karnataka,Pralhad Joshi,BJP,684837,56.43,Vinay Kulkarni,INC,479765,39.54,205072,2.05L,16.89
S25_35,Purulia,West Bengal,Jyotirmay Singh Mahato,BJP,668107,49.3,Dr. Mriganka Mahato,All India Trinamool Congress,463375,34.19,204732,2.05L,15.11
S18_19,Aska,Odisha,Pramila Bisoyi,Biju Janata Dal,552749,54.52,Anita Subhadarshini,BJP,348042,34.33,204707,2.05L,20.19
S23_2,Tripura East,Tripura,Rebati Tripura,BJP,482126,46.12,Maharaj Kumari Pragya Debburman,INC,277836,26.58,204290,2.04L,19.54
S25_20,Mathurapur,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,726828,51.84,Shyamaprasad Halder,BJP,522854,37.29,203974,2.04L,14.55
S12_27,Khargone,Madhya Pradesh,Gajendra Umrao Singh Patel,BJP,773550,54.19,Dr. Govind Subhan Mujalda,INC,571040,40,202510,2.03L,14.19
S06_14,Amreli,Gujarat,Kachhadiya Naranbhai Bhikhabhai,BJP,529035,58.19,Paresh Dhanani,INC,327604,36.03,201431,2.01L,22.16
S04_27,Banka,Bihar,Giridhari Yadav,Janata Dal  (United),477788,47.98,Jai Prakash Narayan Yadav,Rashtriya Janata Dal,277256,27.84,200532,2.01L,20.14
S12_2,Bhind,Madhya Pradesh,Sandhya Ray,BJP,527694,54.93,Devashish,INC,327809,34.12,199885,2L,20.81
S19_10,Firozpur,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,633427,54.05,Sher Singh Ghubaya,INC,434577,37.08,198850,1.99L,16.97
S13_20,Dindori,Maharashtra,Dr. Bharati Pravin Pawar,BJP,567470,49.88,Dhanraj Haribhau Mahale,Nationalist Congress Party,368691,32.41,198779,1.99L,17.47
S24_49,Fatehpur,Uttar Pradesh,Niranjan Jyoti,BJP,566040,54.24,Sukhdev Prasad Verma,Bahujan Samaj Party,367835,35.24,198205,1.98L,19
S06_16,Anand,Gujarat,Patel Mitesh Rameshbhai (Bakabhai),BJP,633097,57.1,Bharatbhai Madhavsinh Solanki,INC,435379,39.27,197718,1.98L,17.83
S25_40,Asansol,West Bengal,Babul Supriyo,BJP,633378,51.16,Moon Moon Sen,All India Trinamool Congress,435741,35.19,197637,1.98L,15.97
S13_11,Bhandara - Gondiya,Maharashtra,Sunil Baburao Mendhe,BJP,650243,52.23,Panchabudhe Nana Jairam,Nationalist Congress Party,452849,36.38,197394,1.97L,15.85
U07_1,Puducherry,Puducherry,Ve. Vaithilingam,INC,444981,56.27,Dr. Narayanasamy Kesavan,All India N.r. Congress,247956,31.36,197025,1.97L,24.91
S06_3,Patan,Gujarat,Dabhi Bharatsinhji Shankarji,BJP,633368,56.24,Jagdish Thakor,INC,439489,39.02,193879,1.94L,17.22
S11_7,Ponnani,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,521824,51.3,P.v. Anvar Puthan Veetil,Independent,328551,32.3,193273,1.93L,19
S25_30,Tamluk,West Bengal,Adhikari Dibyendu,All India Trinamool Congress,724433,50.08,Sidharthashankar Naskar,BJP,534268,36.94,190165,1.9L,13.14
