concat,constName,stateName,winner,winParty,Winvotes,Votesharewinner,Runner,runParty,Runvotes,Votesharerunner,Marginabs,absMarginText,marginPC
S10_19,Tumkur,Karnataka,G.S. Basavaraj,BJP,596127,47.89,H. D. Devegowda,Janata Dal  (Secular),582788,46.82,13339,13.34K,1.07
S18_6,Balasore,Odisha,Pratap Chandra Sarangi,BJP,483858,41.79,Rabindra Kumar Jena,Biju Janata Dal,470902,40.67,12956,12.96K,1.12
S21_1,Sikkim,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,166922,47.46,Dek Bahadur Katwal,Sikkim Democratic Front,154489,43.92,12433,12.43K,3.54
S24_42,Kannauj,Uttar Pradesh,Subrat Pathak,BJP,563087,49.37,Dimple Yadav,Samajwadi Party,550734,48.29,12353,12.35K,1.08
S25_33,Jhargram,West Bengal,Kunar Hembram,BJP,626583,44.56,Birbaha Saren,All India Trinamool Congress,614816,43.72,11767,11.77K,0.84
S18_17,Puri,Odisha,Pinaki Misra,Biju Janata Dal,538321,47.4,Dr Sambit Patra,BJP,526607,46.37,11714,11.71K,1.03
S11_8,Palakkad,Kerala,V.K. Sreekandan,INC,399274,38.83,M B Rajesh,Communist Party Of India  (Marxist),387637,37.7,11637,11.64K,1.13
S09_4,Ladakh,Jammu & Kashmir,Jamyang Tsering Namgyal,BJP,42914,33.94,Sajjad Hussain,Independent,31984,25.3,10930,10.93K,8.64
S29_7,Malkajgiri,Telangana,Anumula Revanth Reddy,INC,603748,38.63,Rajashekar Reddy Marri,Telangana Rashtra Samithi,592829,37.93,10919,10.92K,0.7
S11_15,Alappuzha,Kerala,A.M. Ariff,Communist Party Of India  (Marxist),445970,40.96,Adv. Shanimol Osman,INC,435496,40,10474,10.47K,0.96
S27_12,Lohardaga,Jharkhand,Sudarshan Bhagat,BJP,371595,45.45,Sukhdeo Bhagat,INC,361232,44.18,10363,10.36K,1.27
U04_1,Daman & Diu,Daman & Diu,Lalubhai Babubhai Patel,BJP,37597,42.98,Ketan Dahyabhai Patel,INC,27655,31.62,9942,9942,11.36
S05_2,South Goa,Goa,Cosme Francisco Caitano Sardinha,INC,201561,47.47,Adv. Narendra Sawaikar,BJP,191806,45.18,9755,9755,2.29
S18_3,Sambalpur,Odisha,Nitesh Ganga Deb,BJP,473770,42.13,Nalini Kanta Pradhan,Biju Janata Dal,464608,41.32,9162,9162,0.81
U03_1,Dadra And Nagar Haveli,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,90421,45.44,Patel Natubhai Gomanbhai,BJP,81420,40.92,9001,9001,4.52
S01_12,Vijayawada,Andhra Pradesh,Kesineni Srinivas (Nani),Telugu Desam,575498,45.04,Potluri.v.prasad ( P V P ),Yuvajana Sramika Rythu Congress Party,566772,44.36,8726,8726,0.68
S25_8,Maldaha Dakshin,West Bengal,Abu Hasem Khan Chowdhury (Dalu),INC,444270,34.73,Sreerupa Mitra Chaudhury,BJP,436048,34.09,8222,8222,0.64
S16_1,Mizoram,Mizoram,C. Lalrosanga,Mizo National Front,224286,44.89,Lalnghinglova Hmar,Independent,216146,43.26,8140,8140,1.63
S07_7,Rohtak,Haryana,Arvind Kumar Sharma,BJP,573845,47.01,Deepender Singh Hooda,INC,566342,46.4,7503,7503,0.61
S26_11,Kanker,Chhattisgarh,Mohan Mandavi,BJP,546233,47.12,Biresh Thakur,INC,539319,46.53,6914,6914,0.59
S09_3,Anantnag,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,40180,32.17,Ghulam Ahmad Mir,INC,33504,26.83,6676,6676,5.34
S01_2,Srikakulam,Andhra Pradesh,Kinjarapu Ram Mohan Naidu,Telugu Desam,534544,46.19,Duvvada Srinivas,Yuvajana Sramika Rythu Congress Party,527891,45.61,6653,6653,0.58
S24_3,Muzaffarnagar,Uttar Pradesh,Sanjeev Kumar Balyan,BJP,573780,49.46,Ajit Singh,Rashtriya Lok Dal,567254,48.9,6526,6526,0.56
